il,yil,tarim,sanayi,hizmetler,sektör toplam,vergi-sübvansiyon,gdp
,2016,    1 035 330,    3 089 174,    5 097 865,    9 222 369,    1 242 124,    10 464 493
,2017,    1 250 288,    3 652 970,    5 838 387,    10 741 645,    1 381 005,    12 122 650
,,,,,,,
Yalova,2004,     90 199,     483 926,     638 366,    1 212 492,     174 964,    1 387 456
,2005,     118 127,     535 262,     752 430,    1 405 819,     204 053,    1 609 873
,2006,     145 147,     645 122,     919 760,    1 710 029,     245 195,    1 955 225
,2007,     163 451,     758 428,    1 080 890,    2 002 769,     257 205,    2 259 974
,2008,     165 625,     893 294,    1 243 348,    2 302 268,     283 726,    2 585 993
,2009,     163 989,    1 003 954,    1 300 038,    2 467 980,     299 424,    2 767 405
,2010,     199 588,    1 143 049,    1 445 861,    2 788 498,     383 051,    3 171 549
,2011,     308 971,    1 561 119,    1 719 537,    3 589 626,     490 971,    4 080 597
,2012,     241 628,    1 702 144,    2 006 773,    3 950 546,     525 421,    4 475 967
,2013,     240 018,    2 038 476,    2 349 080,    4 627 574,     654 990,    5 282 564
,2014,     270 613,    2 699 079,    2 662 685,    5 632 377,     735 982,    6 368 359
,2015,     294 966,    3 201 935,    3 037 752,    6 534 652,     881 298,    7 415 950
,2016,     272 639,    3 713 819,    3 518 494,    7 504 953,    1 010 812,    8 515 766
,2017,     310 009,    4 697 103,    4 189 664,    9 196 775,    1 182 388,    10 379 164
,,,,,,,
Ankara,2004,    1 480 384,    12 208 857,    34 851 313,    48 540 554,    7 004 454,    55 545 009
,2005,    1 692 041,    14 630 785,    40 836 413,    57 159 240,    8 296 598,    65 455 838
,2006,    1 685 427,    18 023 850,    47 887 661,    67 596 937,    9 692 497,    77 289 434
,2007,    1 610 450,    21 225 195,    56 068 543,    78 904 187,    10 133 241,    89 037 429
,2008,    1 948 996,    24 408 196,    62 771 033,    89 128 225,    10 983 934,    100 112 159
,2009,    2 409 501,    22 822 165,    65 309 621,    90 541 287,    10 984 804,    101 526 091
,2010,    2 780 668,    27 182 162,    69 437 118,    99 399 947,    13 654 406,    113 054 353
,2011,    3 088 728,    34 550 350,    78 800 613,    116 439 692,    15 926 036,    132 365 728
,2012,    2 848 483,    37 885 541,    87 164 432,    127 898 456,    17 010 444,    144 908 900
,2013,    3 126 060,    44 299 416,    99 445 317,    146 870 794,    20 788 193,    167 658 987
,2014,    3 092 013,    49 387 661,    112 889 056,    165 368 730,    21 608 708,    186 977 438
,2015,    3 777 871,    55 252 047,    127 732 027,    186 761 945,    25 187 721,    211 949 666
,2016,    3 993 643,    61 336 421,    146 355 977,    211 686 041,    28 511 157,    240 197 198
,2017,    4 553 371,    73 905 206,    170 158 731,    248 617 308,    31 963 620,    280 580 928
,,,,,,,
Konya,2004,    2 407 063,    2 359 252,    5 611 624,    10 377 939,    1 497 548,    11 875 486
,2005,    2 683 596,    2 784 887,    6 609 630,    12 078 113,    1 753 124,    13 831 237
,2006,    2 754 196,    3 266 530,    7 950 233,    13 970 959,    2 003 249,    15 974 207
,2007,    2 893 604,    3 607 600,    9 233 132,    15 734 336,    2 020 676,    17 755 013
,2008,    3 259 380,    3 997 990,    10 536 879,    17 794 250,    2 192 918,    19 987 167
,2009,    3 876 212,    3 857 972,    10 872 005,    18 606 189,    2 257 372,    20 863 561
,2010,    4 266 789,    4 593 043,    11 525 503,    20 385 334,    2 800 300,    23 185 634
,2011,    5 840 617,    6 061 819,    13 168 588,    25 071 024,    3 429 089,    28 500 113
,2012,    5 827 666,    7 150 031,    14 788 072,    27 765 769,    3 692 836,    31 458 605
,2013,    6 759 428,    8 826 097,    17 325 267,    32 910 792,    4 658 216,    37 569 008
,2014,    7 877 275,    10 789 148,    20 189 975,    38 856 397,    5 077 360,    43 933 757
,2015,    8 963 516,    12 633 576,    22 592 128,    44 189 220,    5 959 596,    50 148 816
,2016,    8 986 136,    14 402 712,    25 702 983,    49 091 832,    6 611 985,    55 703 817
,2017,    10 948 455,    17 760 990,    29 880 101,    58 589 545,    7 532 597,    66 122 142
,,,,,,,
Karaman,2004,     704 431,     280 223,     503 901,    1 488 555,     214 800,    1 703 355
,2005,     812 626,     329 061,     601 885,    1 743 572,     253 077,    1 996 649
,2006,     742 639,     363 425,     734 300,    1 840 364,     263 884,    2 104 248
,2007,     954 535,     420 009,     846 855,    2 221 399,     285 282,    2 506 682
,2008,    1 033 133,     520 883,     980 458,    2 534 474,     312 342,    2 846 816
,2009,    1 040 923,     523 858,    1 045 207,    2 609 988,     316 653,    2 926 642
,2010,     847 272,     584 672,    1 087 342,    2 519 286,     346 070,    2 865 357
,2011,    1 108 269,     742 477,    1 227 508,    3 078 255,     421 028,    3 499 283
,2012,    1 459 916,     933 106,    1 392 444,    3 785 466,     503 465,    4 288 931
,2013,    1 788 332,    1 176 622,    1 631 313,    4 596 267,     650 559,    5 246 825
,2014,    1 841 783,    1 426 445,    1 903 727,    5 171 955,     675 819,    5 847 774
,2015,    2 093 648,    1 673 718,    2 130 176,    5 897 542,     795 374,    6 692 917
,2016,    1 969 260,    1 883 834,    2 459 892,    6 312 986,     850 271,    7 163 257
,2017,    2 620 729,    2 235 756,    2 852 004,    7 708 489,     991 046,    8 699 535
,,,,,,,
Antalya,2004,    2 262 565,    2 807 848,    11 320 636,    16 391 049,    2 365 246,    18 756 295
,2005,    2 619 267,    3 159 695,    13 066 300,    18 845 262,    2 735 368,    21 580 630
,2006,    3 006 513,    3 847 553,    15 702 419,    22 556 485,    3 234 298,    25 790 783
,2007,    3 495 115,    4 361 991,    17 772 893,    25 630 000,    3 291 523,    28 921 523
,2008,    3 536 871,    4 766 248,    20 297 382,    28 600 500,    3 524 652,    32 125 153
,2009,    3 948 700,    4 004 808,    21 018 709,    28 972 217,    3 515 017,    32 487 234
,2010,    6 484 316,    5 104 696,    23 367 902,    34 956 914,    4 801 973,    39 758 888
,2011,    6 174 246,    6 438 751,    28 834 660,    41 447 657,    5 669 002,    47 116 660
,2012,    4 941 282,    7 559 652,    32 313 856,    44 814 791,    5 960 349,    50 775 140
,2013,    4 782 462,    8 559 489,    37 134 961,    50 476 913,    7 144 537,    57 621 450
,2014,    4 874 624,    9 957 071,    42 690 782,    57 522 477,    7 516 454,    65 038 931
,2015,    5 905 940,    11 407 067,    48 328 108,    65 641 115,    8 852 714,    74 493 829
,2016,    5 791 058,    12 896 122,    48 280 926,    66 968 106,    9 019 670,    75 987 775
,2017,    6 674 054,    15 108 526,    58 074 064,    79 856 645,    10 266 813,    90 123 458
,,,,,,,
Isparta,2004,     643 041,     377 603,    1 630 575,    2 651 218,     382 574,    3 033 792
,2005,     734 910,     431 248,    1 855 238,    3 021 395,     438 552,    3 459 948
,2006,     741 179,     518 204,    2 195 219,    3 454 602,     495 344,    3 949 945
,2007,     792 025,     582 309,    2 470 446,    3 844 780,     493 764,    4 338 544
,2008,     919 626,     631 503,    2 746 456,    4 297 584,     529 623,    4 827 208
,2009,     968 701,     591 954,    2 875 260,    4 435 914,     538 182,    4 974 096
,2010,    1 118 295,     724 045,    3 095 717,    4 938 057,     678 333,    5 616 390
,2011,    1 478 556,     958 811,    3 458 765,    5 896 133,     806 443,    6 702 576
,2012,    1 340 876,    1 117 013,    3 825 259,    6 283 149,     835 656,    7 118 805
,2013,    1 312 984,    1 288 451,    4 204 433,    6 805 868,     963 307,    7 769 175
,2014,    1 470 574,    1 517 861,    4 771 156,    7 759 591,    1 013 945,    8 773 535
,2015,    1 398 126,    1 731 305,    5 276 322,    8 405 754,    1 133 645,    9 539 399
,2016,    1 755 204,    2 067 137,    6 072 136,    9 894 477,    1 332 648,    11 227 125
,2017,    1 981 461,    2 458 622,    6 928 429,    11 368 512,    1 461 599,    12 830 111
,,,,,,,
Burdur,2004,     403 476,     329 720,    1 003 756,    1 736 952,     250 644,    1 987 596
,2005,     447 319,     411 699,    1 142 743,    2 001 761,     290 553,    2 292 314
,2006,     472 004,     481 233,    1 349 750,    2 302 987,     330 217,    2 633 204
,2007,     528 001,     546 805,    1 479 885,    2 554 690,     328 085,    2 882 775
,2008,     619 734,     601 906,    1 662 912,    2 884 552,     355 485,    3 240 037
,2009,     654 476,     569 268,    1 735 988,    2 959 731,     359 086,    3 318 817
,2010,     924 209,     669 505,    1 840 677,    3 434 391,     471 777,    3 906 167
,2011,    1 000 739,     854 344,    2 023 213,    3 878 295,     530 454,    4 408 749
,2012,    1 054 565,     953 380,    2 209 267,    4 217 213,     560 888,    4 778 100
,2013,    1 099 788,    1 134 947,    2 404 100,    4 638 835,     656 584,    5 295 419
,2014,    1 265 256,    1 330 813,    2 711 261,    5 307 330,     693 508,    6 000 838
,2015,    1 434 340,    1 494 983,    3 007 481,    5 936 804,     800 669,    6 737 473
,2016,    1 446 004,    1 684 288,    3 387 097,    6 517 389,     877 801,    7 395 191
,2017,    1 606 370,    1 962 910,    3 819 077,    7 388 357,     949 888,    8 338 245
,,,,,,,
Adana,2004,    1 643 718,    2 632 031,    5 874 035,    10 149 783,    1 464 625,    11 614 408
,2005,    2 062 742,    3 084 986,    6 757 651,    11 905 379,    1 728 052,    13 633 431
,2006,    2 086 168,    3 653 312,    8 075 146,    13 814 627,    1 980 833,    15 795 459
,2007,    2 263 725,    4 297 141,    9 064 728,    15 625 594,    2 006 711,    17 632 305
,2008,    2 369 315,    4 827 962,    10 352 408,    17 549 685,    2 162 778,    19 712 464
,2009,    2 618 085,    4 655 024,    10 970 037,    18 243 146,    2 213 326,    20 456 472
,2010,    3 278 633,    5 662 295,    12 441 677,    21 382 605,    2 937 293,    24 319 898
,2011,    3 324 944,    7 245 604,    14 396 864,    24 967 412,    3 414 917,    28 382 329
,2012,    3 571 976,    8 449 445,    16 594 988,    28 616 409,    3 805 971,    32 422 381
,2013,    3 717 380,    10 116 084,    18 537 190,    32 370 654,    4 581 765,    36 952 419
,2014,    4 029 825,    11 955 086,    20 996 557,    36 981 468,    4 832 363,    41 813 831
,2015,    4 573 972,    13 444 644,    23 524 461,    41 543 076,    5 602 723,    47 145 799
,2016,    4 915 087,    14 805 509,    26 955 291,    46 675 888,    6 286 591,    52 962 478
,2017,    5 723 717,    18 107 779,    31 408 081,    55 239 577,    7 101 906,    62 341 484
,,,,,,,
Mersin,2004,    1 877 899,    1 528 407,    5 643 868,    9 050 174,    1 305 950,    10 356 124
,2005,    2 370 881,    1 883 946,    6 439 356,    10 694 184,    1 552 248,    12 246 432
,2006,    2 519 216,    2 282 940,    7 638 270,    12 440 427,    1 783 791,    14 224 217
,2007,    2 934 759,    2 689 975,    8 435 615,    14 060 350,    1 805 695,    15 866 045
,2008,    3 125 715,    3 024 268,    9 860 744,    16 010 727,    1 973 121,    17 983 848
,2009,    3 311 824,    2 790 212,    9 967 486,    16 069 521,    1 949 614,    18 019 135
,2010,    3 735 893,    3 452 529,    11 430 642,    18 619 064,    2 557 670,    21 176 734
,2011,    3 977 096,    4 503 891,    13 326 715,    21 807 703,    2 982 748,    24 790 451
,2012,    4 014 863,    5 192 155,    15 725 265,    24 932 283,    3 315 984,    28 248 267
,2013,    3 952 087,    6 176 507,    17 521 916,    27 650 510,    3 913 672,    31 564 182
,2014,    4 407 535,    7 373 174,    20 429 710,    32 210 419,    4 208 931,    36 419 349
,2015,    5 437 881,    8 484 174,    22 991 056,    36 913 111,    4 978 301,    41 891 412
,2016,    5 779 842,    9 958 483,    25 930 833,    41 669 158,    5 612 254,    47 281 412
,2017,    6 556 494,    12 119 348,    30 562 903,    49 238 745,    6 330 406,    55 569 151
,,,,,,,
Hatay,2004,    1 243 191,    1 162 304,    3 633 781,    6 039 276,     871 474,    6 910 750
,2005,    1 478 232,    1 481 256,    4 213 836,    7 173 324,    1 041 200,    8 214 523
,2006,    1 585 582,    1 888 433,    4 785 970,    8 259 985,    1 184 371,    9 444 357
,2007,    1 619 282,    2 203 656,    5 537 731,    9 360 668,    1 202 140,    10 562 809
,2008,    1 726 688,    2 754 927,    6 207 865,    10 689 480,    1 317 344,    12 006 824
,2009,    1 769 083,    2 247 930,    6 670 989,    10 688 003,    1 296 708,    11 984 711
,2010,    2 105 280,    3 320 060,    7 627 299,    13 052 639,    1 793 019,    14 845 659
,2011,    2 374 275,    4 796 530,    8 768 137,    15 938 942,    2 180 048,    18 118 990
,2012,    2 160 202,    4 805 740,    10 279 438,    17 245 380,    2 293 629,    19 539 009
,2013,    2 065 138,    5 981 491,    11 522 202,    19 568 831,    2 769 786,    22 338 616
,2014,    2 092 498,    6 778 094,    13 455 838,    22 326 430,    2 917 391,    25 243 822
,2015,    2 587 529,    7 526 262,    15 433 157,    25 546 948,    3 445 399,    28 992 347
,2016,    2 598 628,    8 739 818,    17 804 130,    29 142 576,    3 925 098,    33 067 675
,2017,    2 845 401,    11 645 128,    21 355 144,    35 845 674,    4 608 519,    40 454 193
,,,,,,,
Kahramanmaras,2004,     844 240,    1 724 566,    1 782 396,    4 351 202,     627 883,    4 979 086
,2005,    1 045 308,    1 962 244,    2 072 782,    5 080 334,     737 405,    5 817 739
,2006,     821 074,    2 094 619,    2 412 235,    5 327 928,     763 954,    6 091 882
,2007,     967 385,    2 451 906,    2 813 322,    6 232 613,     800 421,    7 033 034
,2008,    1 212 505,    2 855 153,    3 234 347,    7 302 006,     899 880,    8 201 886
,2009,    1 344 711,    2 879 093,    3 469 762,    7 693 566,     933 412,    8 626 978
,2010,    1 420 865,    3 696 472,    3 954 940,    9 072 277,    1 246 244,    10 318 521
,2011,    1 593 485,    4 284 083,    4 590 098,    10 467 666,    1 431 715,    11 899 381
,2012,    1 619 027,    4 714 294,    5 289 100,    11 622 422,    1 545 777,    13 168 199
,2013,    1 876 018,    5 499 480,    5 933 094,    13 308 592,    1 883 707,    15 192 300
,2014,    1 855 014,    6 415 068,    6 821 016,    15 091 098,    1 971 952,    17 063 050
,2015,    2 480 847,    7 095 811,    7 673 375,    17 250 032,    2 326 432,    19 576 465
,2016,    2 038 999,    8 091 930,    8 905 156,    19 036 086,    2 563 895,    21 599 981
,2017,    2 515 363,    9 973 549,    10 307 281,    22 796 193,    2 930 805,    25 726 998
,,,,,,,
Osmaniye,2004,     380 751,     290 127,     871 152,    1 542 031,     222 517,    1 764 547
,2005,     456 441,     376 785,    1 011 331,    1 844 556,     267 735,    2 112 291
,2006,     444 961,     488 595,    1 173 849,    2 107 406,     302 174,    2 409 580
,2007,     519 989,     608 907,    1 365 189,    2 494 086,     320 302,    2 814 388
,2008,     630 321,     782 849,    1 555 459,    2 968 628,     365 846,    3 334 475
,2009,     619 990,     736 110,    1 674 948,    3 031 048,     367 738,    3 398 786
,2010,    1 042 637,    1 123 040,    1 913 406,    4 079 084,     560 337,    4 639 421
,2011,     943 304,    1 659 358,    2 234 208,    4 836 870,     661 563,    5 498 433
,2012,     961 750,    1 698 206,    2 617 275,    5 277 231,     701 870,    5 979 100
,2013,     869 578,    2 188 024,    2 996 462,    6 054 064,     856 896,    6 910 960
,2014,    1 006 254,    2 524 270,    3 531 457,    7 061 982,     922 788,    7 984 770
,2015,    1 102 320,    2 777 296,    3 956 042,    7 835 658,    1 056 759,    8 892 417
,2016,    1 158 681,    3 265 662,    4 587 210,    9 011 553,    1 213 731,    10 225 284
,2017,    1 302 440,    4 489 047,    5 260 513,    11 052 000,    1 420 906,    12 472 906
,,,,,,,
Kirikkale,2004,     214 186,     398 090,     757 408,    1 369 683,     197 647,    1 567 330
,2005,     253 110,     535 652,     895 670,    1 684 432,     244 493,    1 928 926
,2006,     220 020,     692 444,    1 058 392,    1 970 855,     282 594,    2 253 450
,2007,     179 420,     756 929,    1 199 060,    2 135 409,     274 239,    2 409 648
,2008,     203 706,     943 208,    1 346 699,    2 493 612,     307 306,    2 800 918
,2009,     323 763,     746 474,    1 420 606,    2 490 843,     302 198,    2 793 041
,2010,     372 655,     935 372,    1 586 084,    2 894 111,     397 559,    3 291 671
,2011,     451 636,    1 321 876,    1 832 384,    3 605 897,     493 196,    4 099 093
,2012,     442 031,    1 399 944,    2 048 929,    3 890 905,     517 489,    4 408 394
,2013,     558 687,    1 559 988,    2 282 231,    4 400 906,     622 907,    5 023 813
,2014,     511 279,    1 585 810,    2 631 661,    4 728 750,     617 905,    5 346 655
,2015,     623 196,    1 760 605,    2 920 746,    5 304 547,     715 400,    6 019 947
,2016,     561 971,    1 898 568,    3 374 341,    5 834 880,     785 877,    6 620 757
,2017,     750 355,    3 200 197,    3 912 450,    7 863 001,    1 010 911,    8 873 912
,,,,,,,
Aksaray,2004,     506 875,     273 573,     785 978,    1 566 425,     226 037,    1 792 462
,2005,     594 117,     321 149,     942 125,    1 857 391,     269 598,    2 126 989
,2006,     617 229,     401 376,    1 102 047,    2 120 653,     304 073,    2 424 726
,2007,     690 318,     473 287,    1 271 377,    2 434 982,     312 712,    2 747 693
,2008,     756 498,     559 499,    1 450 320,    2 766 318,     340 914,    3 107 232
,2009,     938 052,     488 313,    1 509 387,    2 935 752,     356 176,    3 291 929
,2010,    1 126 742,     666 830,    1 696 545,    3 490 118,     479 432,    3 969 549
,2011,    1 147 624,     899 216,    2 018 252,    4 065 092,     556 003,    4 621 095
,2012,    1 157 287,    1 022 714,    2 269 330,    4 449 331,     591 759,    5 041 091
,2013,    1 240 371,    1 200 983,    2 634 168,    5 075 522,     718 393,    5 793 915
,2014,    1 731 996,    1 408 658,    3 042 549,    6 183 202,     807 958,    6 991 160
,2015,    2 095 138,    1 676 991,    3 430 773,    7 202 901,     971 422,    8 174 323
,2016,    1 931 344,    1 960 018,    3 933 332,    7 824 693,    1 053 877,    8 878 570
,2017,    2 407 127,    2 460 113,    4 557 402,    9 424 642,    1 211 684,    10 636 326
,,,,,,,
Nigde,2004,     603 512,     309 885,     662 353,    1 575 750,     227 382,    1 803 132
,2005,     683 990,     328 146,     785 845,    1 797 981,     260 975,    2 058 956
,2006,     658 473,     388 298,     918 343,    1 965 114,     281 771,    2 246 885
,2007,     735 359,     451 072,    1 054 968,    2 241 399,     287 851,    2 529 250
,2008,     768 997,     523 346,    1 202 336,    2 494 679,     307 438,    2 802 117
,2009,     881 176,     476 468,    1 265 985,    2 623 629,     318 308,    2 941 938
,2010,    1 048 235,     564 885,    1 430 068,    3 043 188,     418 038,    3 461 226
,2011,    1 286 717,     738 896,    1 676 198,    3 701 811,     506 315,    4 208 126
,2012,    1 360 036,     855 140,    1 885 769,    4 100 945,     545 424,    4 646 369
,2013,    1 350 587,    1 044 272,    2 128 801,    4 523 660,     640 282,    5 163 942
,2014,    1 613 655,    1 231 252,    2 473 311,    5 318 219,     694 931,    6 013 150
,2015,    2 148 916,    1 372 799,    2 755 586,    6 277 302,     846 591,    7 123 893
,2016,    1 895 516,    1 586 564,    3 167 261,    6 649 342,     895 574,    7 544 915
,2017,    2 192 842,    1 997 220,    3 611 328,    7 801 390,    1 002 990,    8 804 380
,,,,,,,
Nevsehir,2004,     601 879,     179 595,     797 217,    1 578 691,     227 807,    1 806 498
,2005,     528 190,     205 350,     931 205,    1 664 745,     241 636,    1 906 381
,2006,     482 176,     257 496,    1 097 913,    1 837 585,     263 485,    2 101 070
,2007,     515 173,     303 805,    1 257 382,    2 076 360,     266 656,    2 343 016
,2008,     539 698,     357 258,    1 435 754,    2 332 710,     287 477,    2 620 188
,2009,     598 440,     312 455,    1 484 672,    2 395 567,     290 639,    2 686 206
,2010,     853 985,     372 817,    1 720 578,    2 947 380,     404 877,    3 352 257
,2011,     978 992,     469 617,    2 025 752,    3 474 360,     475 206,    3 949 566
,2012,     813 878,     555 094,    2 300 180,    3 669 152,     487 996,    4 157 147
,2013,     928 125,     684 091,    2 573 387,    4 185 603,     592 433,    4 778 036
,2014,     969 443,     819 595,    3 009 106,    4 798 144,     626 973,    5 425 117
,2015,    1 243 375,     942 118,    3 311 575,    5 497 068,     741 364,    6 238 433
,2016,    1 132 589,    1 069 300,    3 631 729,    5 833 617,     785 707,    6 619 324
,2017,    1 292 721,    1 313 523,    4 094 149,    6 700 393,     861 440,    7 561 833
,,,,,,,
Kirsehir,2004,     389 736,     174 451,     514 398,    1 078 586,     155 641,    1 234 227
,2005,     494 673,     203 544,     602 982,    1 301 199,     188 868,    1 490 067
,2006,     447 529,     245 435,     704 295,    1 397 260,     200 348,    1 597 608
,2007,     440 914,     294 075,     809 328,    1 544 317,     198 328,    1 742 646
,2008,     457 216,     351 367,     917 517,    1 726 100,     212 720,    1 938 820
,2009,     563 897,     326 190,     964 466,    1 854 553,     225 001,    2 079 554
,2010,     805 035,     390 236,    1 088 950,    2 284 220,     313 780,    2 598 000
,2011,     858 340,     539 236,    1 283 370,    2 680 946,     366 686,    3 047 632
,2012,     789 726,     608 197,    1 458 226,    2 856 150,     379 867,    3 236 017
,2013,     748 564,     738 691,    1 646 106,    3 133 360,     443 498,    3 576 858
,2014,     730 410,     850 928,    1 895 517,    3 476 855,     454 320,    3 931 176
,2015,     873 611,     945 132,    2 114 472,    3 933 215,     530 455,    4 463 669
,2016,     970 324,    1 115 083,    2 461 381,    4 546 788,     612 389,    5 159 177
,2017,    1 316 513,    1 535 471,    2 802 354,    5 654 338,     726 953,    6 381 291
,,,,,,,
Kayseri,2004,     722 529,    2 911 013,    3 691 011,    7 324 552,    1 056 941,    8 381 493
,2005,     839 456,    3 754 677,    4 192 533,    8 786 666,    1 275 374,    10 062 040
,2006,     778 023,    4 479 374,    5 029 360,    10 286 757,    1 474 983,    11 761 740
,2007,     865 382,    4 987 650,    5 725 333,    11 578 365,    1 486 947,    13 065 313
,2008,    1 007 363,    5 354 353,    6 546 908,    12 908 624,    1 590 826,    14 499 449
,2009,    1 124 734,    4 758 483,    6 777 568,    12 660 786,    1 536 053,    14 196 839
,2010,    1 438 651,    5 391 926,    7 749 081,    14 579 658,    2 002 784,    16 582 442
,2011,    1 676 043,    7 304 451,    8 986 128,    17 966 622,    2 457 384,    20 424 006
,2012,    1 740 694,    7 848 526,    10 825 210,    20 414 430,    2 715 111,    23 129 541
,2013,    1 889 934,    9 360 517,    12 390 052,    23 640 503,    3 346 093,    26 986 596
,2014,    2 182 301,    10 251 889,    14 340 557,    26 774 747,    3 498 652,    30 273 400
,2015,    2 360 064,    11 462 499,    16 100 014,    29 922 578,    4 035 520,    33 958 097
,2016,    2 421 834,    13 049 012,    18 063 627,    33 534 472,    4 516 626,    38 051 098
,2017,    2 824 396,    16 168 223,    21 037 522,    40 030 141,    5 146 497,    45 176 638
,,,,,,,
Sivas,2004,     761 916,     576 271,    1 684 393,    3 022 581,     436 162,    3 458 742
,2005,     799 963,     709 862,    1 897 526,    3 407 350,     494 573,    3 901 923
,2006,     788 143,     861 053,    2 278 338,    3 927 534,     563 156,    4 490 690
,2007,     727 954,    1 005 853,    2 601 956,    4 335 764,     556 819,    4 892 582
,2008,     838 814,    1 193 826,    2 959 694,    4 992 334,     615 242,    5 607 576
,2009,     985 035,    1 155 938,    3 088 920,    5 229 893,     634 510,    5 864 403
,2010,    1 501 934,    1 343 479,    3 438 360,    6 283 773,     863 191,    7 146 964
,2011,    1 744 560,    1 871 433,    3 934 107,    7 550 100,    1 032 665,    8 582 765
,2012,    1 804 697,    1 991 279,    4 583 807,    8 379 782,    1 114 508,    9 494 290
,2013,    1 838 279,    2 303 737,    5 114 624,    9 256 640,    1 310 191,    10 566 832
,2014,    1 885 565,    2 509 934,    5 794 485,    10 189 984,    1 331 524,    11 521 507
,2015,    2 234 987,    2 775 167,    6 386 069,    11 396 223,    1 536 956,    12 933 178
,2016,    2 002 412,    3 330 007,    7 317 843,    12 650 261,    1 703 814,    14 354 075
,2017,    2 269 869,    4 131 149,    8 385 526,    14 786 544,    1 901 040,    16 687 585
,,,,,,,
Yozgat,2004,     791 016,     348 787,    1 045 329,    2 185 132,     315 317,    2 500 448
,2005,     865 512,     434 208,    1 159 214,    2 458 933,     356 911,    2 815 845
,2006,     766 497,     501 410,    1 379 882,    2 647 790,     379 658,    3 027 447
,2007,     757 607,     585 719,    1 592 295,    2 935 620,     377 006,    3 312 626
,2008,     875 964,     620 322,    1 764 451,    3 260 737,     401 845,    3 662 582
,2009,    1 023 730,     571 442,    1 879 191,    3 474 363,     421 523,    3 895 886
,2010,    1 353 659,     651 558,    2 055 152,    4 060 369,     557 766,    4 618 135
,2011,    1 558 519,     770 669,    2 325 189,    4 654 376,     636 602,    5 290 979
,2012,    1 433 691,     802 872,    2 670 737,    4 907 300,     652 669,    5 559 969
,2013,    1 505 866,     966 424,    3 004 322,    5 476 613,     775 164,    6 251 777
,2014,    1 656 771,    1 026 018,    3 399 952,    6 082 742,     794 831,    6 877 572
,2015,    1 946 488,    1 183 947,    3 688 259,    6 818 694,     919 606,    7 738 300
,2016,    1 911 597,    1 404 034,    4 234 291,    7 549 922,    1 016 869,    8 566 791
,2017,    2 163 668,    1 549 334,    4 801 135,    8 514 136,    1 094 625,    9 608 761
,,,,,,,
Zonguldak,2004,     205 626,     828 084,    1 766 462,    2 800 172,     404 068,    3 204 240
,2005,     240 977,    1 020 773,    2 037 020,    3 298 770,     478 813,    3 777 582
,2006,     224 028,    1 260 646,    2 371 329,    3 856 003,     552 899,    4 408 902
,2007,     279 245,    1 482 488,    2 647 433,    4 409 165,     566 245,    4 975 411
,2008,     247 052,    1 759 394,    2 797 363,    4 803 809,     592 009,    5 395 818
,2009,     283 033,    1 495 921,    2 946 983,    4 725 937,     573 368,    5 299 305
,2010,     359 536,    1 892 396,    3 346 068,    5 597 999,     768 988,    6 366 987
,2011,     387 987,    2 644 314,    3 898 366,    6 930 666,     947 942,    7 878 608
,2012,     440 939,    2 652 432,    4 413 682,    7 507 054,     998 435,    8 505 489
,2013,     384 179,    3 361 977,    4 923 104,    8 669 260,    1 227 053,    9 896 313
,2014,     529 437,    3 793 278,    5 470 028,    9 792 743,    1 279 616,    11 072 359
,2015,     639 460,    4 136 052,    5 981 306,    10 756 818,    1 450 722,    12 207 540
,2016,     622 338,    4 707 289,    6 804 339,    12 133 966,    1 634 276,    13 768 242
,2017,     681 836,    6 154 537,    7 801 560,    14 637 933,    1 881 934,    16 519 867
,,,,,,,
Karabuk,2004,     130 234,     325 224,     660 250,    1 115 707,     160 998,    1 276 705
,2005,     133 329,     400 191,     758 488,    1 292 008,     187 534,    1 479 542
,2006,     131 878,     529 926,     906 441,    1 568 246,     224 865,    1 793 111
,2007,     150 249,     607 641,    1 003 812,    1 761 702,     226 246,    1 987 948
,2008,     177 161,     721 852,    1 122 001,    2 021 015,     249 065,    2 270 080
,2009,     189 564,     593 601,    1 170 705,    1 953 870,     237 051,    2 190 920
,2010,     137 593,     816 218,    1 330 047,    2 283 858,     313 730,    2 597 588
,2011,     155 434,    1 202 815,    1 565 940,    2 924 189,     399 956,    3 324 145
,2012,     191 684,    1 128 360,    1 819 211,    3 139 255,     417 520,    3 556 774
,2013,     160 711,    1 477 142,    2 083 548,    3 721 401,     526 730,    4 248 131
,2014,     175 724,    1 722 930,    2 400 986,    4 299 639,     561 833,    4 861 472
,2015,     203 136,    1 941 092,    2 655 270,    4 799 497,     647 286,    5 446 783
,2016,     192 742,    2 193 254,    3 034 226,    5 420 221,     730 028,    6 150 249
,2017,     214 681,    2 822 257,    3 575 218,    6 612 156,     850 095,    7 462 251
,,,,,,,
Bartin,2004,     158 577,     227 719,     465 943,     852 240,     122 979,     975 219
,2005,     164 408,     280 192,     540 310,     984 910,     142 959,    1 127 869
,2006,     164 182,     312 449,     637 878,    1 114 509,     159 806,    1 274 314
,2007,     169 633,     354 844,     715 337,    1 239 814,     159 223,    1 399 037
,2008,     193 874,     381 235,     800 835,    1 375 945,     169 568,    1 545 513
,2009,     216 236,     338 309,     851 646,    1 406 190,     170 604,    1 576 794
,2010,     265 294,     394 293,     970 708,    1 630 296,     223 951,    1 854 246
